Date,Open,High,Low,Close,Adj Close,Volume
09-03-2005,4.588,4.599,4.487,4.517,4.517,456119263
10-03-2005,4.508,4.513,4.418,4.483,4.483,440063306
11-03-2005,4.494,4.507,4.412,4.428,4.428,322335682
14-03-2005,4.442,4.443,4.298,4.358,4.358,447535208
15-03-2005,4.366,4.483,4.339,4.449,4.449,418446584
16-03-2005,4.401,4.449,4.359,4.374,4.374,285317446
17-03-2005,4.412,4.474,4.379,4.466,4.466,331662510
18-03-2005,4.454,4.493,4.441,4.484,4.484,284663002
21-03-2005,4.465,4.537,4.415,4.505,4.505,300470030
22-03-2005,4.513,4.532,4.43,4.448,4.448,226112360
23-03-2005,4.433,4.489,4.433,4.458,4.458,194526410
24-03-2005,4.501,4.505,4.463,4.465,4.465,148763520
28-03-2005,4.525,4.603,4.507,4.519,4.519,350830087
29-03-2005,4.509,4.565,4.435,4.472,4.472,259890496
30-03-2005,4.499,4.519,4.473,4.494,4.494,250378977
31-03-2005,4.432,4.518,4.424,4.496,4.496,271758815
01-04-2005,4.527,4.557,4.483,4.484,4.484,248206866
04-04-2005,4.482,4.616,4.479,4.615,4.615,324266893
05-04-2005,4.676,4.739,4.672,4.697,4.697,350777892
06-04-2005,4.713,4.724,4.672,4.713,4.713,210891521
07-04-2005,4.702,4.847,4.698,4.826,4.826,389141150
08-04-2005,4.824,4.859,4.768,4.783,4.783,205431131
11-04-2005,4.809,4.852,4.79,4.813,4.813,217231195
12-04-2005,4.807,4.842,4.718,4.831,4.831,293881426
13-04-2005,4.819,4.84,4.726,4.805,4.805,263214910
14-04-2005,4.814,4.841,4.735,4.768,4.768,247030473
15-04-2005,4.735,4.741,4.599,4.608,4.608,464831797
18-04-2005,4.597,4.679,4.57,4.657,4.657,262994085
19-04-2005,4.716,4.782,4.683,4.767,4.767,338463908
20-04-2005,4.946,4.994,4.879,4.934,4.934,620376641
21-04-2005,4.992,5.106,4.964,5.086,5.086,712737539
22-04-2005,5.552,5.579,5.336,5.375,5.375,1333182435
25-04-2005,5.425,5.598,5.418,5.567,5.567,796574608
26-04-2005,5.485,5.529,5.437,5.448,5.448,693469588
27-04-2005,5.429,5.501,5.398,5.474,5.474,412131000
28-04-2005,5.467,5.531,5.422,5.466,5.466,348613811
